h (m),theta,delta,sigma,T (K),p (Pa),rho (kg/m^3),a (m/s)
0,1.000,1.000,1.000,288.16,101300,1.225,340.3
1000,0.977,0.887,0.907,281.66,89853,1.112,336.4
2000,0.955,0.785,0.822,275.16,79476,1.006,332.5
3000,0.932,0.692,0.742,268.66,70092,0.909,328.6
4000,0.910,0.608,0.669,262.16,61625,0.819,324.6
5000,0.887,0.533,0.601,255.66,54007,0.736,320.5
6000,0.865,0.466,0.539,249.16,47170,0.660,316.4
7000,0.842,0.405,0.481,242.66,41051,0.590,312.3
8000,0.820,0.351,0.429,236.16,35592,0.525,308.1
9000,0.797,0.303,0.381,229.66,30735,0.466,303.8
10000,0.774,0.261,0.337,223.16,26430,0.413,299.5
11000,0.752,0.223,0.297,216.66,22627,0.364,295.1
12000,0.752,0.190,0.253,216.66,19273,0.310,295.1
13000,0.752,0.162,0.216,216.66,16459,0.265,295.1
14000,0.752,0.139,0.185,216.66,14057,0.226,295.1
15000,0.752,0.119,0.158,216.66,12005,0.193,295.1
16000,0.752,0.101,0.135,216.66,10252,0.165,295.1
17000,0.752,0.086,0.115,216.66,8756,0.141,295.1
18000,0.752,0.074,0.098,216.66,7478,0.120,295.1
19000,0.752,0.063,0.084,216.66,6386,0.103,295.1
20000,0.752,0.054,0.072,216.66,5454,0.088,295.1
